Sr,Proc_ID,SAS9_Proc,SAS9_Prod,SAS9_Proc_Cat,SAS9_Office_Analytics,SAS9_Analytics_Pro,SASV_Proc,SASV_Prod,SAS Visual Machine Learning,SAS Visual Data Science,SAS Data Science Programming*,SAS Visual Data Science Decisioning,SASV_Proc_Cat,SASV_CLD_PRD_ADDON,Open_Source_Mapping,Azure_Prod,AWS_Prod,GCP_Prod
50,PROC_50,CONVERT,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
51,PROC_51,COPULA,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
52,PROC_52,COPY,Base SAS,Data Management,Y,Y,COPY,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
53,PROC_53,CORR,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
54,PROC_54,CORRELATION,SAS Visual Statistics,Advanced Analytics,,,CORRELATION,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
55,PROC_55,CORRESP,SAS/STAT,Analytics,Y,Y,CORRESP,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
56,PROC_56,COUNTREG,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
57,PROC_57,CPANEL,SAS Econometrics,Advanced Analytics,,,CPANEL,SAS Econometrics,,Y,Y,Y,Advanced Analytics,,,,,
58,PROC_58,CPM,SAS/OR,Advanced Analytics,,,,,,,,,,,,,,
59,PROC_59,CPORT,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
60,PROC_60,CQLIM,SAS Econometrics,Advanced Analytics,,,CQLIM,SAS Econometrics,,Y,Y,Y,Advanced Analytics,,,,,
61,PROC_61,CSPATIALREG,SAS Econometrics,Advanced Analytics,,,CSPATIALREG,SAS Econometrics,,Y,Y,Y,Advanced Analytics,,,,,
62,PROC_62,CUSUM,SAS/QC,Advanced Analytics,,,CUSUM,,,,,,Advanced Analytics,SAS/QC,,,,
63,PROC_63,CV2VIEW,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
64,PROC_64,DATASETS,Base SAS,Data Management,Y,Y,DATASETS,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
65,PROC_65,DATASOURCE,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
66,PROC_66,DATEKEYS,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
67,PROC_67,DB2EXT,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
68,PROC_68,DB2UTIL,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
69,PROC_69,DBCSTAB,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
70,PROC_70,DBCSTAB ,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
71,PROC_71,DBF,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
72,PROC_72,DBLOAD,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
73,PROC_73,DCBSTAB,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
74,PROC_74,DELETE,Base SAS,Data Management,Y,Y,DELETE,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
75,PROC_75,DIF,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
76,PROC_76,DISCRIM,SAS/STAT,Analytics,Y,Y,DISCRIM,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
77,PROC_77,DISPLAY,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
78,PROC_78,DISTANCE,SAS/STAT,Analytics,Y,Y,DISTANCE,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
79,PROC_79,DISTANCE ,SAS/STAT,Analytics,Y,Y,,,,,,,,,,,,
80,PROC_80,DMSRVADM,SAS Data Quality Server,Data Management,,,,,,,,,,,,,,
81,PROC_81,DMSRVDATASVC,SAS Data Quality Server,Data Management,,,,,,,,,,,,,,
82,PROC_82,DMSRVPROCESSSVC,SAS Data Quality Server,Data Management,,,,,,,,,,,,,,
83,PROC_83,DMSSRVPROCESSSVC,SAS Data Quality Server,Data Management,,,,,,,,,,,,,,
84,PROC_84,DOCPARSE,SAS Text Miner,Analytics,,,,,,,,,,,,,,
85,PROC_85,DOCUMENT,Base SAS,Data Management,Y,Y,DOCUMENT,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
86,PROC_86,DOWNLOAD,SAS/CONNECT,SAS ENV,,,DOWNLOAD,SAS/CONNECT ,Y,Y,Y,Y,SAS ENV,,,,,
87,PROC_87,DQLOCLST,SAS Data Quality Server,Data Management,,,,,,,,,,,,,,
88,PROC_88,DQMATCH,SAS Data Quality Server,Data Management,,,,,,,,,,,,,,
89,PROC_89,DQSCHEME,SAS Data Quality Server,Data Management,,,,,,,,,,,,,,
90,PROC_90,DS2,Base SAS,Advanced Data Management,Y,Y,DS2,SAS Studio,Y,Y,Y,Y,Advanced Data Management,,,,,
91,PROC_91,DSTODS2,Base SAS,Data Management,Y,Y,DSTODS2,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
92,PROC_92,DTREE,SAS/OR,Advanced Analytics,,,,,,,,,,,,,,
93,PROC_93,ECM,SAS Econometrics,Advanced Analytics,,,ECM,SAS Econometrics,,Y,Y,Y,Advanced Analytics,,,,,
94,PROC_94,ENTROPY,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
95,PROC_95,ESM,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
96,PROC_96,EXPAND,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
97,PROC_97,EXPLODE,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
98,PROC_98,EXPORT,Base SAS,Data Management,Y,Y,EXPORT,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
99,PROC_99,FACTEX,SAS/QC,Advanced Analytics,,,FACTEX,,,,,,Advanced Analytics,SAS/QC,,,,
100,PROC_100,FACTOR,SAS/STAT,Analytics,Y,Y,FACTOR,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
101,PROC_101,FAMILY,SAS/Genetics,Advanced Analytics,,,,,,,,,,,,,,
102,PROC_102,FASTCLUS,SAS/STAT,Analytics,Y,Y,FASTCLUS,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
103,PROC_103,FCMP,Base SAS,Data Management,Y,Y,FCMP,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
104,PROC_104,FEDSQL,Base SAS,Data Management,Y,Y,FEDSQL,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
105,PROC_105,FMM,SAS/STAT,Analytics,Y,Y,FMM,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
106,PROC_106,FONTREG,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
107,PROC_107,FORECAST,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
108,PROC_108,FORMAT,Base SAS,Data Management,Y,Y,FORMAT,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
109,PROC_109,FORMS,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
110,PROC_110,FREQ,SAS/STAT,Analytics,Y,Y,FREQ,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
