INMEM_KEYWORD
SAS_INSTALL_EP
%INDTD_PUBLISH_MODEL
%INDAC_PUBLISH_MODEL
%INDB2_PUBLISH_MODEL 
%INDGP_PUBLISH_MODEL 
%INDHD_PUBLISH_MODEL
%INDNZ_PUBLISH_MODEL 
%INDOR_PUBLISH_MODEL 
%INDHN_PUBLISH_MODEL 
%INDHN_RUN_MODEL 
%INDHD_RUN_MODEL
SQLGENERATION 
DSACCEL
HADOOPPLATFORM
SQLGENERATION
SQLMAPPUTTO
SQLREDUCEPUT
SAS_EP 
SAS_EP_ENABLE_EPCS
SAS_SCORE_EP 
SAS_EP_JOB_MANAGEMENT_URL 
SASEPFUNC
DSACCEL
%INDTD_CREATE_MODELTABLE 
%INDB2_CREATE_MODELTABLE
%INDNZ_CREATE_MODELTABLE
%INDOR_CREATE_MODELTABLE 
SAS_SCORE_EP
SAS_SYSFNLIB
HPSVM
HPFOREST 
SAS_SCORE
INDCONN 
EM_PREDICTION
DS2ACCEL=YES
SQLGENERATION
DSACCEL
HADOOPPLATFORM
SQLGENERATION
SQLMAPPUTTO
SQLREDUCEPUT
EM_PROBABILITY
EM_DECISION

